"","level","date","state_fips","state_code","county_fips","county","pop_stay_at_home","pop_not_stay_at_home","trips","trips_1","trips_1_3","trips_3_5","trips_5_10","trips_10_25","trips_25_50","trips_50_100","trips_100_250","trips_250_500","trips_500"
"9064","County",2020-07-08,49,"UT",49005,"Cache County",30451,96617,389829,110747,106936,43704,47671,45731,15820,12403,4548,1469,800
"9065","County",2020-07-08,49,"UT",49007,"Carbon County",4901,15368,61671,15808,16037,4276,8749,8998,3870,2590,1005,253,85
"9066","County",2020-07-08,49,"UT",49009,"Daggett County",392,588,2039,549,283,141,272,608,131,31,24,0,0
"9067","County",2020-07-08,49,"UT",49011,"Davis County",82497,269216,1086805,292771,262653,120528,139739,149240,83818,19655,10301,5075,3025
"9068","County",2020-07-08,49,"UT",49013,"Duchesne County",4588,15376,58113,12966,10516,6856,8747,7810,5993,2737,1793,544,151
"9069","County",2020-07-08,49,"UT",49015,"Emery County",2103,7911,32545,5206,4206,1790,4327,7194,7258,1861,649,54,0
"9070","County",2020-07-08,49,"UT",49017,"Garfield County",1614,3466,11418,1999,2334,532,839,2526,1820,861,462,40,5
"9071","County",2020-07-08,49,"UT",49019,"Grand County",1909,7855,38317,9974,6530,2666,3003,5242,7619,2000,992,207,84
"9072","County",2020-07-08,49,"UT",49021,"Iron County",13605,39170,145151,34389,39111,16901,17337,14002,10588,6176,4617,1657,373
"9073","County",2020-07-08,49,"UT",49023,"Juab County",2568,8987,31505,6611,6258,2954,3262,3460,3371,3403,1501,619,66
"9074","County",2020-07-08,49,"UT",49025,"Kane County",2031,5678,22185,4768,5481,3648,1745,3867,743,1370,439,109,15
"9075","County",2020-07-08,49,"UT",49027,"Millard County",2080,10926,43928,8754,11795,3509,5613,7471,1810,2305,2454,152,65
"9076","County",2020-07-08,49,"UT",49029,"Morgan County",2599,9446,37979,6282,8746,5082,3257,7243,5077,1003,851,337,101
"9077","County",2020-07-08,49,"UT",49031,"Piute County",297,1148,7200,1266,727,77,1492,1587,1533,299,219,0,0
"9078","County",2020-07-08,49,"UT",49033,"Rich County",609,1855,5798,574,1002,1115,1146,1072,387,322,171,0,9
"9079","County",2020-07-08,49,"UT",49035,"Salt Lake County",284823,867810,3592790,965067,834518,449871,626594,512664,116394,37689,30498,13402,6093
"9080","County",2020-07-08,49,"UT",49037,"San Juan County",3335,12114,47463,11047,11298,3612,2401,5513,5721,6363,1159,278,71
"9081","County",2020-07-08,49,"UT",49039,"Sanpete County",6961,23662,113306,27352,15904,18751,16672,18967,6542,4168,4460,376,114
"9082","County",2020-07-08,49,"UT",49041,"Sevier County",4556,16983,69699,18846,16970,5023,5765,11270,3484,3758,3301,1074,208
"9083","County",2020-07-08,49,"UT",49043,"Summit County",9369,32564,125449,27816,25288,15221,17087,19558,14447,2592,1983,639,818
"9084","County",2020-07-08,49,"UT",49045,"Tooele County",15341,54566,223557,51835,54216,16828,23606,32899,32575,6529,3415,913,741
"9085","County",2020-07-08,49,"UT",49047,"Uintah County",7174,28264,107855,24179,39995,11305,8327,9515,8333,2013,3582,263,343
"9086","County",2020-07-08,49,"UT",49049,"Utah County",149070,473143,1853055,494616,442541,209529,240125,272921,125406,35743,19829,8557,3788
"9087","County",2020-07-08,49,"UT",49051,"Wasatch County",7258,25982,103809,26534,25094,12162,10602,14513,11268,1387,1412,344,493
"9088","County",2020-07-08,49,"UT",49053,"Washington County",38010,133690,505548,107547,116012,69781,98498,66449,18833,10201,13005,4267,955
"9089","County",2020-07-08,49,"UT",49055,"Wayne County",416,2274,8536,1428,1696,359,947,1674,1104,970,230,128,0
"9090","County",2020-07-08,49,"UT",49057,"Weber County",62089,194270,783273,210702,190469,89951,127829,81267,50107,21652,6557,3377,1362
"12204","County",2020-07-09,49,"UT",49001,"Beaver County",1678,4902,21633,6649,4566,1388,1260,2880,3007,1177,594,104,8
"12205","County",2020-07-09,49,"UT",49003,"Box Elder County",13012,41938,165104,47479,34764,11503,15317,29079,12030,8743,4199,1396,594
"12206","County",2020-07-09,49,"UT",49005,"Cache County",31399,95669,391597,113454,103552,45778,49367,43985,17174,11478,4433,1668,708
"12207","County",2020-07-09,49,"UT",49007,"Carbon County",5313,14956,61236,16962,15837,4291,8477,7417,4746,2228,1073,138,67
"12208","County",2020-07-09,49,"UT",49009,"Daggett County",332,648,2788,507,352,239,355,1001,194,124,16,0,0
"12209","County",2020-07-09,49,"UT",49011,"Davis County",83631,268082,1091160,307250,266987,123090,134090,140725,79690,19947,12390,4287,2704
"12210","County",2020-07-09,49,"UT",49013,"Duchesne County",4768,15196,61014,13818,12266,5160,9136,9532,5130,3320,1734,820,98
"12211","County",2020-07-09,49,"UT",49015,"Emery County",2392,7622,35178,8619,6124,2362,3757,5987,5549,2073,633,74,0
"12212","County",2020-07-09,49,"UT",49017,"Garfield County",1825,3255,11681,2287,2409,606,584,2194,1937,1369,280,4,11
"12213","County",2020-07-09,49,"UT",49019,"Grand County",1882,7882,36129,8868,5414,2780,2255,5639,7338,2176,1230,355,74
"12214","County",2020-07-09,49,"UT",49021,"Iron County",13277,39498,139071,33068,39461,16673,15886,14888,7280,6465,3583,1458,309
"12215","County",2020-07-09,49,"UT",49023,"Juab County",2126,9429,32961,6874,7441,2380,3519,4106,3286,3715,922,609,109
"12216","County",2020-07-09,49,"UT",49025,"Kane County",2353,5356,24526,5670,4429,3981,2822,4817,611,1414,610,165,7
"12217","County",2020-07-09,49,"UT",49027,"Millard County",1951,11055,44514,10208,9649,3082,5994,8149,2030,2194,2902,230,76
"12218","County",2020-07-09,49,"UT",49029,"Morgan County",2119,9926,39205,4927,8325,6403,2986,6646,6888,1377,916,580,157
"12219","County",2020-07-09,49,"UT",49031,"Piute County",317,1128,6517,975,545,80,1229,1501,1559,346,282,0,0
"12220","County",2020-07-09,49,"UT",49033,"Rich County",559,1905,7672,1475,1056,1516,1352,1408,384,265,199,0,17
"12221","County",2020-07-09,49,"UT",49035,"Salt Lake County",286632,866001,3658865,995895,860312,462181,617775,523074,111424,38764,31045,13086,5309
"12222","County",2020-07-09,49,"UT",49037,"San Juan County",3614,11835,48438,10595,12823,5827,3104,6159,5089,3459,1095,201,86
"12223","County",2020-07-09,49,"UT",49039,"Sanpete County",6398,24225,107198,23265,21571,17229,14965,15337,7741,3802,2848,240,200
"12224","County",2020-07-09,49,"UT",49041,"Sevier County",4417,17122,60199,13551,12846,5439,6501,8583,5372,2821,3471,1315,300
"12225","County",2020-07-09,49,"UT",49043,"Summit County",9449,32484,132836,29616,29574,14395,19453,21669,11909,2994,2259,631,336
"12226","County",2020-07-09,49,"UT",49045,"Tooele County",15710,54197,215490,52939,44982,18531,19882,33447,31151,8916,3890,1040,712
"12227","County",2020-07-09,49,"UT",49047,"Uintah County",6499,28939,113498,22424,50094,12018,8410,8690,6791,1557,2761,393,360
"12228","County",2020-07-09,49,"UT",49049,"Utah County",149077,473136,1925912,540732,449942,216902,251028,271566,125445,37915,21156,7463,3763
"12229","County",2020-07-09,49,"UT",49051,"Wasatch County",7300,25940,96541,18472,29501,9942,12118,11715,10298,2026,1995,222,252
"12230","County",2020-07-09,49,"UT",49053,"Washington County",37777,133923,521671,115341,113259,74251,97112,72916,19041,12628,12307,3881,935
"12231","County",2020-07-09,49,"UT",49055,"Wayne County",319,2371,10132,1386,2291,886,779,2065,1109,1296,241,79,0
"12232","County",2020-07-09,49,"UT",49057,"Weber County",63089,193270,794807,233027,189409,92373,119138,85206,42479,23157,5772,2903,1343
"15346","County",2020-07-10,49,"UT",49001,"Beaver County",2006,4574,20420,5211,4259,878,1067,2559,3899,1754,708,68,17
"15347","County",2020-07-10,49,"UT",49003,"Box Elder County",12289,42661,167074,42202,37100,14211,15413,31138,13074,8039,4299,1166,432
"15348","County",2020-07-10,49,"UT",49005,"Cache County",31097,95971,376962,107235,96943,45015,48419,45239,15396,11348,4593,1903,871
"15349","County",2020-07-10,49,"UT",49007,"Carbon County",5172,15097,64138,14465,18893,4664,7477,8518,4069,4764,971,252,65
"15350","County",2020-07-10,49,"UT",49009,"Daggett County",299,681,2031,272,269,160,274,736,171,122,27,0,0
"15351","County",2020-07-10,49,"UT",49011,"Davis County",80675,271038,1111260,311619,266028,126101,136541,148720,77420,23387,14676,3750,3018
"15352","County",2020-07-10,49,"UT",49013,"Duchesne County",4875,15089,63668,15114,13016,6516,6748,9135,6607,3104,2484,891,53
"15353","County",2020-07-10,49,"UT",49015,"Emery County",2402,7612,34113,9134,4979,1879,3787,7514,4497,1542,739,42,0
"15354","County",2020-07-10,49,"UT",49017,"Garfield County",1758,3322,10641,2645,2328,575,628,1362,1751,928,371,45,8
"15355","County",2020-07-10,49,"UT",49019,"Grand County",1764,8000,32723,7649,5138,3044,1924,4396,7204,1733,1167,281,187
"15356","County",2020-07-10,49,"UT",49021,"Iron County",13043,39732,146610,33795,38457,21901,16249,15464,7933,7351,3679,1554,227
"15357","County",2020-07-10,49,"UT",49023,"Juab County",2094,9461,34979,8076,9175,3094,2819,3152,3481,3402,1211,479,90
"15358","County",2020-07-10,49,"UT",49025,"Kane County",2021,5688,24920,5257,5586,3539,2474,4173,687,2341,720,119,24
"15359","County",2020-07-10,49,"UT",49027,"Millard County",2029,10977,42774,10348,8363,3643,4857,7643,3570,1654,2366,266,64
"15360","County",2020-07-10,49,"UT",49029,"Morgan County",2344,9701,40197,8778,7132,7121,1827,7317,5796,1475,491,155,105
"15361","County",2020-07-10,49,"UT",49031,"Piute County",309,1136,4130,963,496,103,1451,601,234,177,105,0,0
"15362","County",2020-07-10,49,"UT",49033,"Rich County",611,1853,7113,1174,1285,822,1121,1458,813,288,139,0,13
"15363","County",2020-07-10,49,"UT",49035,"Salt Lake County",279132,873501,3783068,1009404,901947,481321,646975,519587,124718,43120,38650,12219,5127
"15364","County",2020-07-10,49,"UT",49037,"San Juan County",3273,12176,52576,14073,13108,4703,3291,5238,6137,4391,1251,335,49
"15365","County",2020-07-10,49,"UT",49039,"Sanpete County",6711,23912,116248,25348,22854,22167,12954,15789,7552,5936,3176,238,234
"15366","County",2020-07-10,49,"UT",49041,"Sevier County",4731,16808,70850,17644,15326,6282,8094,10872,5562,2996,2907,908,259
"15367","County",2020-07-10,49,"UT",49043,"Summit County",9197,32736,126428,34023,25514,10612,20252,17892,11035,3425,2072,964,639
"15368","County",2020-07-10,49,"UT",49045,"Tooele County",14998,54909,220753,51841,54225,17341,22204,33052,29441,6600,4093,1324,632
"15369","County",2020-07-10,49,"UT",49047,"Uintah County",6714,28724,101017,23805,37975,11260,7513,8789,5448,2500,3219,207,301
"15370","County",2020-07-10,49,"UT",49049,"Utah County",147754,474459,1914164,509292,459092,216581,247953,276142,135218,37334,21723,6753,4076
"15371","County",2020-07-10,49,"UT",49051,"Wasatch County",6717,26523,97190,19109,26608,12228,11141,14388,9744,1667,1674,366,265
"15372","County",2020-07-10,49,"UT",49053,"Washington County",37460,134240,517771,112299,108623,68891,101753,74556,21467,12107,13146,3958,971
"15373","County",2020-07-10,49,"UT",49055,"Wayne County",432,2258,13424,2259,2868,442,1092,3027,1510,1837,237,152,0
"15374","County",2020-07-10,49,"UT",49057,"Weber County",60848,195511,791893,212468,184118,100943,126069,84186,49856,23980,6889,2088,1296
"18488","County",2020-07-11,49,"UT",49001,"Beaver County",1790,4790,18182,6385,3444,910,1362,1653,2564,1195,594,49,26
"18489","County",2020-07-11,49,"UT",49003,"Box Elder County",13371,41579,149587,39887,29741,14772,13947,25290,11589,7715,4603,1495,548
"18490","County",2020-07-11,49,"UT",49005,"Cache County",31705,95363,383491,114432,103106,35868,44404,46875,19864,11017,5119,2142,664
"18491","County",2020-07-11,49,"UT",49007,"Carbon County",5299,14970,61772,17448,19371,3968,6421,7274,4310,1863,953,128,36
"18492","County",2020-07-11,49,"UT",49009,"Daggett County",349,631,2346,374,352,167,268,922,150,92,21,0,0
"18493","County",2020-07-11,49,"UT",49011,"Davis County",88132,263581,1102721,326055,272559,117773,139599,130362,70358,22183,16758,4405,2669
"18494","County",2020-07-11,49,"UT",49013,"Duchesne County",5056,14908,57158,11032,12173,8524,6861,8739,4826,3200,1283,438,82
"18495","County",2020-07-11,49,"UT",49015,"Emery County",2504,7510,29754,5539,5748,2277,3562,6369,3850,1737,634,38,0
"18496","County",2020-07-11,49,"UT",49017,"Garfield County",1589,3491,10662,1551,2557,704,799,1905,1630,971,499,33,13
"18497","County",2020-07-11,49,"UT",49019,"Grand County",1845,7919,29870,6212,5067,2794,1960,3895,5538,2453,1428,373,150
"18498","County",2020-07-11,49,"UT",49021,"Iron County",14132,38643,149504,34915,39308,19249,16090,17921,9829,7203,3234,1288,467
"18499","County",2020-07-11,49,"UT",49023,"Juab County",2612,8943,36082,8405,8400,3552,3736,5161,3175,2472,786,319,76
"18500","County",2020-07-11,49,"UT",49025,"Kane County",2155,5554,23925,4884,4290,5145,2146,4150,660,1725,682,216,27
"18501","County",2020-07-11,49,"UT",49027,"Millard County",2024,10982,51615,12757,9796,3227,8820,9167,3106,2594,1949,166,33
"18502","County",2020-07-11,49,"UT",49029,"Morgan County",2417,9628,39388,6205,10933,4743,1951,7324,6317,780,883,87,165
"18503","County",2020-07-11,49,"UT",49031,"Piute County",329,1116,6045,1032,566,78,1567,1049,1264,306,183,0,0
"18504","County",2020-07-11,49,"UT",49033,"Rich County",583,1881,7237,1274,1126,1406,1270,1204,548,198,202,0,9
"18505","County",2020-07-11,49,"UT",49035,"Salt Lake County",301369,851264,3569014,951107,911355,482676,545103,444532,128179,47848,39883,13319,5012
"18506","County",2020-07-11,49,"UT",49037,"San Juan County",3421,12028,51285,15749,11991,5103,3279,3478,5841,4764,905,104,71
"18507","County",2020-07-11,49,"UT",49039,"Sanpete County",6906,23717,112327,26339,21467,18214,13873,15721,8464,4401,3417,226,205
"18508","County",2020-07-11,49,"UT",49041,"Sevier County",4902,16637,69665,17622,14862,7634,8826,9693,4234,2805,2852,937,200
"18509","County",2020-07-11,49,"UT",49043,"Summit County",9887,32046,117917,25318,25000,13007,18842,17225,11668,3274,2206,729,648
"18510","County",2020-07-11,49,"UT",49045,"Tooele County",16800,53107,213686,50368,54429,17229,25383,32450,22174,6862,2984,886,921
"18511","County",2020-07-11,49,"UT",49047,"Uintah County",8399,27039,99946,21084,34110,12686,10896,9527,5438,3126,2391,300,388
"18512","County",2020-07-11,49,"UT",49049,"Utah County",156702,465511,1853620,505752,469561,216344,238391,242901,113789,34403,22637,6499,3343
"18513","County",2020-07-11,49,"UT",49051,"Wasatch County",7353,25887,94404,21869,24484,9787,11296,12148,10938,2371,977,302,232
"18514","County",2020-07-11,49,"UT",49053,"Washington County",41154,130546,498390,108548,110734,65031,92874,67527,21186,15237,12584,3703,966
"18515","County",2020-07-11,49,"UT",49055,"Wayne County",480,2210,10841,1633,3072,434,746,2205,1332,1025,278,116,0
"18516","County",2020-07-11,49,"UT",49057,"Weber County",65565,190794,752915,197125,196963,96721,109327,78649,41543,22579,6424,2415,1169
"18897","State",2020-07-06,49,"UT",NA,"",777816,2383289,9433101,2421895,2273671,1134181,1386084,1292262,535822,211453,123523,37094,17116
"18948","State",2020-07-07,49,"UT",NA,"",762164,2398941,9698417,2569504,2297342,1160592,1422909,1336836,539390,195788,117546,39462,19048
"18999","State",2020-07-08,49,"UT",NA,"",755584,2405521,9690068,2530627,2295109,1130010,1440855,1340661,561675,200723,124788,45342,20278
"19050","State",2020-07-09,49,"UT",NA,"",759215,2401890,9857573,2646333,2339781,1161286,1428651,1350381,536682,207746,124836,43342,18535
"19101","State",2020-07-10,49,"UT",NA,"",742755,2418350,9989135,2615502,2371705,1196037,1462367,1362643,564290,219302,137783,40483,19023
"19152","State",2020-07-11,49,"UT",NA,"",798830,2362275,9603349,2540901,2406565,1170023,1333599,1215316,524364,216399,137349,40713,18120
"21942","County",2020-07-12,49,"UT",49001,"Beaver County",2209,4371,18665,6211,4625,1263,1105,1704,1854,1210,548,122,23
"21943","County",2020-07-12,49,"UT",49003,"Box Elder County",15911,39039,131124,34279,26515,14193,11373,21910,8869,7953,4421,1104,507
"21944","County",2020-07-12,49,"UT",49005,"Cache County",34729,92339,291316,87796,70611,30049,32579,35169,16311,10609,5210,2083,899
"21945","County",2020-07-12,49,"UT",49007,"Carbon County",5614,14655,50393,12140,15312,3822,7953,4470,2473,2850,918,330,125
"21946","County",2020-07-12,49,"UT",49009,"Daggett County",351,629,2072,405,358,103,209,595,257,112,33,0,0
"21947","County",2020-07-12,49,"UT",49011,"Davis County",97825,253888,852699,217114,210455,88687,105234,114061,69304,23670,16815,4669,2690
"21948","County",2020-07-12,49,"UT",49013,"Duchesne County",5709,14255,48487,10374,9959,5797,5062,6754,7180,1934,1273,83,71
"21949","County",2020-07-12,49,"UT",49015,"Emery County",2898,7116,25363,4840,3949,1824,2457,5890,4537,1417,369,80,0
"21950","County",2020-07-12,49,"UT",49017,"Garfield County",1549,3531,11941,2201,2410,610,556,2463,1531,1419,691,50,10
"21951","County",2020-07-12,49,"UT",49019,"Grand County",2032,7732,28986,5304,5629,2261,1792,5026,4999,2505,1170,185,115
"21952","County",2020-07-12,49,"UT",49021,"Iron County",15182,37593,116298,26858,27015,12854,12984,12733,8733,6591,6409,1690,431
"21953","County",2020-07-12,49,"UT",49023,"Juab County",3165,8390,24927,5038,4805,2639,1588,3235,3347,2966,910,276,123
"21954","County",2020-07-12,49,"UT",49025,"Kane County",2232,5477,17654,3022,3331,2090,1655,4055,679,1970,709,113,30
"21955","County",2020-07-12,49,"UT",49027,"Millard County",2541,10465,34675,6749,9669,1524,5625,5502,1969,1418,1982,193,44
"21956","County",2020-07-12,49,"UT",49029,"Morgan County",3038,9007,28924,2957,7282,4062,3167,5146,4509,891,630,199,81
"21957","County",2020-07-12,49,"UT",49031,"Piute County",349,1096,6351,871,563,78,1446,1392,1441,323,237,0,0
"21958","County",2020-07-12,49,"UT",49033,"Rich County",636,1828,5231,1456,590,455,504,1197,345,483,172,0,29
"21959","County",2020-07-12,49,"UT",49035,"Salt Lake County",317484,835149,3083402,829474,796119,383869,469760,385862,107172,48922,44779,13058,4387
"21960","County",2020-07-12,49,"UT",49037,"San Juan County",3810,11639,41759,10949,9406,3115,4193,4712,4172,3676,1122,361,53
"21961","County",2020-07-12,49,"UT",49039,"Sanpete County",7844,22779,83730,23025,16625,13166,8290,11582,5296,3414,1705,431,196
"21962","County",2020-07-12,49,"UT",49041,"Sevier County",4887,16652,53893,12824,10428,5734,5165,8541,3578,2414,3650,1306,253
"21963","County",2020-07-12,49,"UT",49043,"Summit County",9820,32113,98018,20452,21230,9354,15202,13936,9838,3560,2852,801,793
"21964","County",2020-07-12,49,"UT",49045,"Tooele County",18259,51648,179146,44090,39232,11393,19806,26503,21168,9217,5701,1393,643
"21965","County",2020-07-12,49,"UT",49047,"Uintah County",8236,27202,92427,21972,29526,11070,8002,10483,5897,1437,3490,287,263
"21966","County",2020-07-12,49,"UT",49049,"Utah County",177623,444590,1462748,395223,351961,154854,180625,195244,104156,42496,25401,8908,3880
"21967","County",2020-07-12,49,"UT",49051,"Wasatch County",7994,25246,77028,16728,21494,8182,8917,8365,8619,2668,1329,385,341
"21968","County",2020-07-12,49,"UT",49053,"Washington County",44963,126737,410038,83853,87066,49110,66768,64491,23477,12381,17373,4210,1309
"21969","County",2020-07-12,49,"UT",49055,"Wayne County",478,2212,6677,1456,1650,314,240,1555,597,590,244,31,0
"21970","County",2020-07-12,49,"UT",49057,"Weber County",70845,185514,631795,155271,159110,80911,92234,67150,42022,21756,8959,3057,1325
"25084","County",2020-07-13,49,"UT",49001,"Beaver County",1802,4778,19070,6633,4756,785,734,1493,2320,1671,521,137,20
"25085","County",2020-07-13,49,"UT",49003,"Box Elder County",12005,42945,156324,38930,33145,13535,14296,28193,13341,8937,4318,1114,515
