"","level","date","state_fips","state_code","county_fips","county","pop_stay_at_home","pop_not_stay_at_home","trips","trips_1","trips_1_3","trips_3_5","trips_5_10","trips_10_25","trips_25_50","trips_50_100","trips_100_250","trips_250_500","trips_500"
"2778","County",2020-07-06,49,"UT",49001,"Beaver County",1667,4913,20121,7196,4952,1045,1173,1656,2174,1241,578,85,21
"2779","County",2020-07-06,49,"UT",49003,"Box Elder County",12944,42006,153413,38087,31969,13760,12954,28662,13907,8923,3815,959,377
"2780","County",2020-07-06,49,"UT",49005,"Cache County",31376,95692,353378,88692,93047,39008,48054,46512,16936,13197,5296,2073,563
"2781","County",2020-07-06,49,"UT",49007,"Carbon County",4990,15279,68015,15912,22899,3576,8174,7414,5583,3094,1130,208,25
"2782","County",2020-07-06,49,"UT",49009,"Daggett County",335,645,2084,392,429,137,475,417,106,113,15,0,0
"2783","County",2020-07-06,49,"UT",49011,"Davis County",85398,266315,1059947,287962,259992,119279,136343,143806,72567,22587,11034,3809,2568
"2784","County",2020-07-06,49,"UT",49013,"Duchesne County",4735,15229,58185,13023,10340,7015,8275,8291,6464,2137,1875,670,95
"2785","County",2020-07-06,49,"UT",49015,"Emery County",2516,7498,30077,6088,4598,1406,3812,6506,5056,1974,603,34,0
"2786","County",2020-07-06,49,"UT",49017,"Garfield County",1546,3534,11193,2062,2641,681,503,1696,1731,1141,684,43,11
"2787","County",2020-07-06,49,"UT",49019,"Grand County",1766,7998,31823,8667,5829,2233,2163,3475,6090,1976,912,333,145
"2788","County",2020-07-06,49,"UT",49021,"Iron County",14292,38483,137273,31524,36181,16587,15564,14360,7736,8809,4784,1498,230
"2789","County",2020-07-06,49,"UT",49023,"Juab County",2640,8915,37884,9283,9692,4645,3188,3374,2927,3085,1431,206,53
"2790","County",2020-07-06,49,"UT",49025,"Kane County",1945,5764,23518,5870,5008,2300,2451,4173,863,1864,880,99,10
"2791","County",2020-07-06,49,"UT",49027,"Millard County",2253,10753,46794,10376,10821,4647,7950,5512,2168,2856,2164,246,54
"2792","County",2020-07-06,49,"UT",49029,"Morgan County",2376,9669,37831,6075,6533,5314,2485,8483,7963,437,297,117,127
"2793","County",2020-07-06,49,"UT",49031,"Piute County",296,1149,5123,1371,623,43,1134,457,989,173,333,0,0
"2794","County",2020-07-06,49,"UT",49033,"Rich County",582,1882,7838,1467,1112,1495,1074,1365,525,454,338,0,8
"2795","County",2020-07-06,49,"UT",49035,"Salt Lake County",294242,858391,3528760,921996,860630,450627,602907,489547,117193,38698,31546,10526,5090
"2796","County",2020-07-06,49,"UT",49037,"San Juan County",3848,11601,51826,15647,11957,4045,2107,4567,5475,5938,1692,363,35
"2797","County",2020-07-06,49,"UT",49039,"Sanpete County",6769,23854,111157,28986,19807,14386,11463,19826,7913,4304,4030,241,201
"2798","County",2020-07-06,49,"UT",49041,"Sevier County",4806,16733,66443,16532,15731,3737,6427,11346,5340,3074,3647,476,133
"2799","County",2020-07-06,49,"UT",49043,"Summit County",9585,32348,120429,26286,24119,11951,21892,18397,11756,2301,2526,705,496
"2800","County",2020-07-06,49,"UT",49045,"Tooele County",15482,54425,208076,46002,49257,17999,18682,31878,33023,6999,2956,790,490
"2801","County",2020-07-06,49,"UT",49047,"Uintah County",8094,27344,87105,18566,24927,11992,9582,8194,6865,2551,3623,489,316
"2802","County",2020-07-06,49,"UT",49049,"Utah County",154996,467217,1839450,496864,440955,214072,238348,260680,121529,36744,19608,6961,3689
"2803","County",2020-07-06,49,"UT",49051,"Wasatch County",7654,25586,99063,25981,22993,11981,11614,12223,10802,1853,1053,325,238
"2804","County",2020-07-06,49,"UT",49053,"Washington County",38232,133468,494383,104269,113663,74051,93076,63958,18965,11180,10690,3631,900
"2805","County",2020-07-06,49,"UT",49055,"Wayne County",333,2357,10866,1907,2193,509,1037,1797,1833,1145,395,50,0
"2806","County",2020-07-06,49,"UT",49057,"Weber County",62118,194241,731046,184812,180773,95660,113177,83690,41343,22605,5588,2157,1241
"5920","County",2020-07-07,49,"UT",49001,"Beaver County",1995,4585,19927,7266,4577,987,797,1383,2820,1332,638,113,14
"5921","County",2020-07-07,49,"UT",49003,"Box Elder County",12999,41951,155696,41961,32454,10058,14011,28300,13244,8651,5058,1411,548
"5922","County",2020-07-07,49,"UT",49005,"Cache County",31484,95584,379931,105511,104031,44756,47327,42275,18234,9498,5836,1860,603
"5923","County",2020-07-07,49,"UT",49007,"Carbon County",4525,15744,66660,17239,19563,4988,8454,8990,3467,2762,938,202,57
"5924","County",2020-07-07,49,"UT",49009,"Daggett County",317,663,2856,470,411,223,384,1052,200,103,13,0,0
"5925","County",2020-07-07,49,"UT",49011,"Davis County",83420,268293,1073481,295149,266697,124441,132741,140080,77960,19867,10312,3289,2945
"5926","County",2020-07-07,49,"UT",49013,"Duchesne County",4732,15232,61916,14672,9911,7140,8959,8951,6511,2333,2737,575,127
"5927","County",2020-07-07,49,"UT",49015,"Emery County",2484,7530,31378,7131,4138,2085,2538,6749,6475,1419,800,43,0
"5928","County",2020-07-07,49,"UT",49017,"Garfield County",1469,3611,11636,3022,2416,1047,905,1789,1288,728,394,29,18
"5929","County",2020-07-07,49,"UT",49019,"Grand County",1899,7865,35883,11532,7598,2414,2121,4509,4522,1791,880,412,104
"5930","County",2020-07-07,49,"UT",49021,"Iron County",13839,38936,146465,36455,37050,16229,18688,16154,9407,6035,4348,1615,484
"5931","County",2020-07-07,49,"UT",49023,"Juab County",2567,8988,33349,6652,6467,3164,3583,4347,4047,3634,799,605,51
"5932","County",2020-07-07,49,"UT",49025,"Kane County",2134,5575,25284,5145,5644,4713,2539,3681,654,2042,613,235,18
"5933","County",2020-07-07,49,"UT",49027,"Millard County",2153,10853,45955,9645,10568,3457,7872,7466,2224,1979,2540,178,26
"5934","County",2020-07-07,49,"UT",49029,"Morgan County",2255,9790,39370,4683,8834,6654,3781,6980,5849,876,1387,157,169
"5935","County",2020-07-07,49,"UT",49031,"Piute County",279,1166,7657,1354,739,88,1828,1543,1584,318,203,0,0
"5936","County",2020-07-07,49,"UT",49033,"Rich County",537,1927,6779,1164,872,1171,1002,1480,463,460,159,0,8
"5937","County",2020-07-07,49,"UT",49035,"Salt Lake County",289537,863096,3628814,985515,870138,450559,617208,511227,113199,35327,29453,11053,5135
"5938","County",2020-07-07,49,"UT",49037,"San Juan County",3902,11547,48327,14261,11419,3489,3053,6138,4450,4158,862,421,76
"5939","County",2020-07-07,49,"UT",49039,"Sanpete County",6257,24366,108752,26146,20518,20193,12409,15531,5851,4526,3075,299,204
"5940","County",2020-07-07,49,"UT",49041,"Sevier County",4722,16817,72343,22142,16498,4557,6973,10065,4302,3223,3285,976,322
"5941","County",2020-07-07,49,"UT",49043,"Summit County",9098,32835,119021,23152,24865,14980,18554,19299,11896,2899,1847,769,760
"5942","County",2020-07-07,49,"UT",49045,"Tooele County",14864,55043,218710,50717,49484,19175,23516,30504,31460,8940,3405,852,657
"5943","County",2020-07-07,49,"UT",49047,"Uintah County",7542,27896,104022,21587,30765,14057,11981,9703,8045,3236,3554,639,455
"5944","County",2020-07-07,49,"UT",49049,"Utah County",150980,471233,1853373,506355,432260,216783,240416,272246,124932,34067,15575,7040,3699
"5945","County",2020-07-07,49,"UT",49051,"Wasatch County",6998,26242,99141,24648,22111,13854,10260,13610,11192,1557,1366,111,432
"5946","County",2020-07-07,49,"UT",49053,"Washington County",36852,134848,530986,113667,117529,75692,100482,77415,18169,11590,11544,3995,903
"5947","County",2020-07-07,49,"UT",49055,"Wayne County",478,2212,6137,1077,725,322,821,1366,1100,484,146,96,0
"5948","County",2020-07-07,49,"UT",49057,"Weber County",61846,194513,764568,211186,179060,93316,119706,84003,45845,21953,5779,2487,1233
"9062","County",2020-07-08,49,"UT",49001,"Beaver County",1767,4813,25343,7809,5166,1265,1223,3072,3591,2341,770,89,17
"9063","County",2020-07-08,49,"UT",49003,"Box Elder County",13171,41779,155902,43185,33327,12573,13980,24328,14032,8301,4561,1119,496
